Invoice ,Date,Due Date,Reference,Combined,Gross,Balance,Status,Source,Invoice Sent,matches
INV-98474,06 Jan 2025,06 Jan 2025,Alaska Center 101: Tradify JB31761,INV-98474Alaska Center 101: Tradify JB31761,62,0,Paid,Receivable Invoice,Not sent,
INV-98472,08 Jan 2025,08 Jan 2025,Alaska 312: Tradify JB31787,INV-98472Alaska 312: Tradify JB31787,62,0,Paid,Receivable Invoice,Not sent,
INV-98473,08 Jan 2025,08 Jan 2025,Alaska 270: Tradify JB31776,INV-98473Alaska 270: Tradify JB31776,82.66,0,Paid,Receivable Invoice,Not sent,
INV-97809,10 Jan 2025,15 Jan 2025,Alaska 2024 Dec. management fees,INV-97809Alaska 2024 Dec. management fees,"2,112.00",0,Paid,Receivable Invoice,Sent,
INV-98792,10 Jan 2025,10 Jan 2025,Alaska Common (Outside Vendor),INV-98792Alaska Common (Outside Vendor),299.57,0,Paid,Receivable Invoice,Sent,
INV-98990,10 Jan 2025,10 Jan 2025,Alaska Common,INV-98990Alaska Common,311.62,0,Paid,Receivable Invoice,Sent,
INV-98989,10 Jan 2025,10 Jan 2025,Alaska Common,INV-98989Alaska Common,127.14,0,Paid,Receivable Invoice,Sent,
INV-98471,18 Jan 2025,18 Jan 2025,Alaska Common: Tradify JB31870,INV-98471Alaska Common: Tradify JB31870,62,0,Paid,Receivable Invoice,Not sent,
INV-98470,21 Jan 2025,21 Jan 2025,Alaska 440: Tradify JB31907,INV-98470Alaska 440: Tradify JB31907,31,0,Paid,Receivable Invoice,Not sent,
INV-99063,23 Jan 2025,23 Jan 2025,Alaska 104 JB:31923,INV-99063Alaska 104 JB:31923,"1,118.64",0,Paid,Receivable Invoice,Not sent,
INV-98469,24 Jan 2025,28 Jan 2025,Alaska 250: Tradify JB31934,INV-98469Alaska 250: Tradify JB31934,98.17,0,Paid,Receivable Invoice,Not sent,
INV-98468,27 Jan 2025,27 Jan 2025,alaska common: Tradify JB31957,INV-98468alaska common: Tradify JB31957,15.5,0,Paid,Receivable Invoice,Not sent,
INV-98479,27 Jan 2025,27 Jan 2025,Alaska Common: Tradify JB31617,INV-98479Alaska Common: Tradify JB31617,31,0,Paid,Receivable Invoice,Not sent,
INV-99001,30 Jan 2025,30 Jan 2025,Alaska Common: Verizon Elevator Phone  01.10.2025 - 02.09.2025,INV-99001Alaska Common: Verizon Elevator Phone  01.10.2025 - 02.09.2025,27.42,0,Paid,Receivable Invoice,Sent,
INV-99070,04 Feb 2025,04 Feb 2025,Alaska Common: Router (Amazon),INV-99070Alaska Common: Router (Amazon),90.99,90.99,Draft,Receivable Invoice,Not sent,
INV-98655,04 Feb 2025,04 Feb 2025,Alaska Common: Meter (Mike T.),INV-98655Alaska Common: Meter (Mike T.),147.44,147.44,Draft,Receivable Invoice,Not sent,
INV-98420,10 Feb 2025,15 Feb 2025,Alaska Jan. 2025 management fees,INV-98420Alaska Jan. 2025 management fees,"2,112.00",0,Paid,Receivable Invoice,Sent,
INV-98487,12 Feb 2025,12 Feb 2025,Alaska Common: Tradify JB31344,INV-98487Alaska Common: Tradify JB31344,15.5,0,Paid,Receivable Invoice,Not sent,
INV-98652,13 Feb 2025,21 Feb 2025,Alaska 104: Meter (Mike T.),INV-98652Alaska 104: Meter (Mike T.),200.49,200.49,Draft,Receivable Invoice,Not sent,
INV-98651,13 Feb 2025,13 Feb 2025,Alaska 108: Meter (Mike T.),INV-98651Alaska 108: Meter (Mike T.),200.49,200.49,Draft,Receivable Invoice,Not sent,
INV-99019,10 Mar 2025,15 Mar 2025,Alaska Feb. 2025 management fees,INV-99019Alaska Feb. 2025 management fees,"2,112.00",0,Paid,Receivable Invoice,Sent,
INV-98399,02 Apr 2025,03 Apr 2025,Alaska Maintenance Invoices: 4/3 Transfer,INV-98399Alaska Maintenance Invoices: 4/3 Transfer,"13,112.38",0,Paid,Receivable Invoice,Not sent,
INV-99213,10 Apr 2025,15 Apr 2025,Alaska 2024 March management fees,INV-99213Alaska 2024 March management fees,"2,112.00",0,Paid,Receivable Invoice,Sent,
INV-99262,10 Apr 2025,10 Apr 2025,Alaska Maintenance Invoices: 4/10 Transfer,INV-99262Alaska Maintenance Invoices: 4/10 Transfer,"5,010.84",0,Paid,Receivable Invoice,Not sent,
INV-99342,09 May 2025,09 May 2025,Alaska Common: Duplicated Invoices,INV-99342Alaska Common: Duplicated Invoices,"5,750.44",0,Paid,Receivable Invoice,Not sent,
CN-99344,09 May 2025,09 May 2025,Alaska Common: Duplicated Invoices,CN-99344Alaska Common: Duplicated Invoices,"-5,750.44","-5,750.44",Approved,Receivable Credit Note,Not sent,
INV-99341,09 May 2025,09 May 2025,Alaska Maintenance Invoices: 05/09 Transfer,INV-99341Alaska Maintenance Invoices: 05/09 Transfer,651,0,Paid,Receivable Invoice,Not sent,
INV-99316,10 May 2025,15 May 2025,Alaska 2024 management fees,INV-99316Alaska 2024 management fees,"2,233.14","2,233.14",Approved,Receivable Invoice,Not sent,
